company,sector,country,region,year,total_postings,ai_postings,avg_ai_score,avg_posted_salary,ai_adoption_rate
1302410.0,Healthcare,United States,NY,2023,2,0,0.0,62500.0,0.0
13094.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
132969.0,Healthcare,United States,OR,2023,1,0,0.0,,0.0
13476.0,Healthcare,United States,NY,2023,1,0,0.0,,0.0
1357956.0,Healthcare,United States,CT,2023,1,0,0.0,,0.0
13626.0,Healthcare,United States,NJ,2023,2,0,0.0,,0.0
13769.0,Healthcare,United States,CO,2023,1,0,0.0,27.16,0.0
1376946.0,Healthcare,United States,PA,2023,1,0,0.0,,0.0
139348.0,Healthcare,United States,KY,2023,1,0,0.0,,0.0
1393718.0,Healthcare,United States,CA,2023,1,0,0.0,,0.0
14352.0,Healthcare,United States,VA,2023,1,0,0.0,,0.0
14363.0,Healthcare,United States,NJ,2023,1,0,0.0,,0.0
14542824.0,Healthcare,United States,CO,2023,2,0,0.0,71.0,0.0
14542824.0,Healthcare,United States,FL,2023,2,0,0.0,,0.0
14542824.0,Healthcare,United States,MT,2023,1,0,0.0,25.0,0.0
14542824.0,Healthcare,United States,NC,2023,1,0,0.0,,0.0
14542824.0,Healthcare,United States,NY,2023,1,0,0.0,,0.0
14542824.0,Healthcare,United States,OR,2023,3,0,0.0,55.0,0.0
14542824.0,Healthcare,United States,PA,2023,1,0,0.0,24.0,0.0
14542824.0,Healthcare,United States,TX,2023,2,0,0.0,,0.0
14542824.0,Healthcare,United States,Unknown,2023,2,0,0.0,,0.0
14542824.0,Healthcare,United States,VT,2023,2,0,0.0,,0.0
14542824.0,Healthcare,United States,WA,2023,1,0,0.0,,0.0
14542824.0,Healthcare,United States,WI,2023,1,0,0.0,,0.0
145522.0,Healthcare,United States,NV,2023,1,0,0.0,45.0,0.0
1464.0,Healthcare,United States,DE,2023,1,0,0.0,13.0,0.0
1464.0,Healthcare,United States,FL,2023,2,0,0.0,13.0,0.0
1464.0,Healthcare,United States,ID,2023,1,0,0.0,13.0,0.0
1464.0,Healthcare,United States,KS,2023,1,0,0.0,13.0,0.0
1464.0,Healthcare,United States,MN,2023,1,0,0.0,13.0,0.0
1464.0,Healthcare,United States,MT,2023,1,0,0.0,13.0,0.0
1464.0,Healthcare,United States,NM,2023,1,0,0.0,13.0,0.0
1464.0,Healthcare,United States,OH,2023,2,0,0.0,13.0,0.0
1464.0,Healthcare,United States,OK,2023,1,0,0.0,13.0,0.0
1464.0,Healthcare,United States,SC,2023,1,0,0.0,13.0,0.0
1464.0,Healthcare,United States,UT,2023,1,0,0.0,13.0,0.0
1466837.0,Healthcare,United States,MD,2023,1,0,0.0,55000.0,0.0
14736.0,Healthcare,United States,Unknown,2023,1,0,0.0,,0.0
15157241.0,Healthcare,United States,AZ,2023,1,0,0.0,,0.0
15157241.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
15168.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
15179318.0,Healthcare,United States,FL,2023,1,0,0.0,,0.0
15230509.0,Healthcare,United States,Unknown,2023,1,0,0.0,60000.0,0.0
15317.0,Healthcare,United States,NE,2023,1,0,0.0,45.0,0.0
15472.0,Healthcare,United States,VA,2023,1,0,0.0,,0.0
15473.0,Healthcare,United States,MO,2023,1,0,0.0,,0.0
15473.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
15473.0,Healthcare,United States,VA,2023,1,0,0.0,,0.0
15484089.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
15564.0,Healthcare,United States,MO,2023,1,0,0.0,,0.0
15564.0,Healthcare,United States,TX,2023,1,0,0.0,,0.0
155764.0,Healthcare,United States,Unknown,2023,1,0,0.0,,0.0
15579078.0,Healthcare,United States,DC,2023,1,0,0.0,,0.0
156075.0,Healthcare,United States,FL,2023,1,0,0.0,,0.0
15626530.0,Healthcare,United States,KY,2023,1,0,0.0,,0.0
156281.0,Healthcare,United States,NV,2023,1,0,0.0,,0.0
1566697.0,Healthcare,United States,NJ,2023,1,0,0.0,,0.0
15708603.0,Healthcare,United States,WA,2023,1,0,0.0,,0.0
15720708.0,Healthcare,United States,GA,2023,1,0,0.0,,0.0
157239.0,Healthcare,United States,NY,2023,1,0,0.0,,0.0
15760876.0,Healthcare,United States,CA,2023,1,0,0.0,15.5,0.0
1585669.0,Healthcare,United States,Unknown,2023,1,0,0.0,175000.0,0.0
16005518.0,Healthcare,United States,WA,2023,1,0,0.0,,0.0
16038.0,Healthcare,United States,Unknown,2023,3,0,0.0,,0.0
16038.0,Healthcare,United States,WI,2023,1,0,0.0,,0.0
16063763.0,Healthcare,United States,Unknown,2023,2,0,0.0,,0.0
16101273.0,Healthcare,United States,TN,2023,1,0,0.0,,0.0
16163783.0,Healthcare,United States,MI,2023,1,0,0.0,,0.0
16182319.0,Healthcare,United States,WI,2023,1,0,0.0,22.5,0.0
